UserID,Top1,Top2,Top3
0,Travel_Rewards_Card,Rewards_Credit_Card,Insurance_Solutions
1,Travel_Rewards_Card,Rewards_Credit_Card,Insurance_Solutions
2,Rewards_Credit_Card,Travel_Rewards_Card,Home_Improvement_Loan
3,Travel_Rewards_Card,Commodity_Investment_Services,Rewards_Credit_Card
4,Auto_Vehicle_Financing,Digital_Financing,Home_Improvement_Loan
5,Digital_Financing,Insurance_Solutions,Auto_Vehicle_Financing
6,Rewards_Credit_Card,Travel_Rewards_Card,Commodity_Investment_Services
7,Savings_Investment_Plans,Rewards_Credit_Card,Digital_Financing
8,Insurance_Solutions,Savings_Investment_Plans,Commodity_Investment_Services
9,Digital_Financing,Rewards_Credit_Card,Savings_Investment_Plans
10,Insurance_Solutions,Rewards_Credit_Card,Travel_Rewards_Card
11,Digital_Financing,Rewards_Credit_Card,Insurance_Solutions
12,Rewards_Credit_Card,Wealth_Management_Savings,Travel_Rewards_Card
13,Rewards_Credit_Card,Home_Improvement_Loan,Savings_Investment_Plans
14,Savings_Investment_Plans,Travel_Rewards_Card,Rewards_Credit_Card
15,Rewards_Credit_Card,Home_Improvement_Loan,Insurance_Solutions
16,Rewards_Credit_Card,Savings_Investment_Plans,Digital_Financing
17,Digital_Financing,Home_Improvement_Loan,Auto_Vehicle_Financing
18,Rewards_Credit_Card,Savings_Investment_Plans,Travel_Rewards_Card
19,Travel_Rewards_Card,Rewards_Credit_Card,Commodity_Investment_Services
20,Rewards_Credit_Card,Savings_Investment_Plans,Travel_Rewards_Card
21,Travel_Rewards_Card,Rewards_Credit_Card,Insurance_Solutions
22,Rewards_Credit_Card,Travel_Rewards_Card,Savings_Investment_Plans
23,Travel_Rewards_Card,Digital_Financing,Rewards_Credit_Card
24,Savings_Investment_Plans,Commodity_Investment_Services,Insurance_Solutions
25,Rewards_Credit_Card,Savings_Investment_Plans,Auto_Vehicle_Financing
26,Rewards_Credit_Card,Travel_Rewards_Card,Insurance_Solutions
27,Rewards_Credit_Card,Home_Improvement_Loan,Travel_Rewards_Card
28,Insurance_Solutions,Savings_Investment_Plans,Travel_Rewards_Card
29,Savings_Investment_Plans,Rewards_Credit_Card,Insurance_Solutions
30,Travel_Rewards_Card,Auto_Vehicle_Financing,Commodity_Investment_Services
31,Travel_Rewards_Card,Rewards_Credit_Card,Commodity_Investment_Services
32,Insurance_Solutions,Savings_Investment_Plans,Digital_Financing
33,Travel_Rewards_Card,Insurance_Solutions,Commodity_Investment_Services
34,Savings_Investment_Plans,Rewards_Credit_Card,Insurance_Solutions
35,Insurance_Solutions,Travel_Rewards_Card,Rewards_Credit_Card
36,Insurance_Solutions,Travel_Rewards_Card,Savings_Investment_Plans
37,Travel_Rewards_Card,Digital_Financing,Insurance_Solutions
38,Travel_Rewards_Card,Insurance_Solutions,Commodity_Investment_Services
39,Auto_Vehicle_Financing,Commodity_Investment_Services,Rewards_Credit_Card
40,Rewards_Credit_Card,Savings_Investment_Plans,Travel_Rewards_Card
41,Home_Improvement_Loan,Insurance_Solutions,Rewards_Credit_Card
42,Travel_Rewards_Card,Insurance_Solutions,Rewards_Credit_Card
43,Travel_Rewards_Card,Savings_Investment_Plans,Digital_Financing
44,Rewards_Credit_Card,Home_Improvement_Loan,Digital_Financing
45,Rewards_Credit_Card,Travel_Rewards_Card,Insurance_Solutions
46,Insurance_Solutions,Travel_Rewards_Card,Home_Improvement_Loan
