UserID,Top1,Top2,Top3
0,Travel_Rewards_Card,Rewards_Credit_Card,Insurance_Solutions
1,Retention_Efforts,Rewards_Credit_Card,Travel_Rewards_Card
2,Card_Upgrade,Travel_Rewards_Card,Rewards_Credit_Card
3,Travel_Rewards_Card,Rewards_Credit_Card,Commodity_Investment_Services
4,Retention_Efforts,Card_Upgrade,Travel_Rewards_Card
5,Retention_Efforts,Digital_Financing,Insurance_Solutions
6,Travel_Rewards_Card,Rewards_Credit_Card,Wealth_Management_Savings
7,Rewards_Credit_Card,Savings_Investment_Plans,Card_Upgrade
8,Retention_Efforts,Savings_Investment_Plans,Insurance_Solutions
9,Digital_Financing,Rewards_Credit_Card,Savings_Investment_Plans
10,Retention_Efforts,Rewards_Credit_Card,Digital_Financing
11,Retention_Efforts,Digital_Financing,Rewards_Credit_Card
12,Rewards_Credit_Card,Card_Upgrade,Wealth_Management_Savings
13,Card_Upgrade,Rewards_Credit_Card,Retention_Efforts
14,Savings_Investment_Plans,Travel_Rewards_Card,Rewards_Credit_Card
15,Home_Improvement_Loan,Insurance_Solutions,Rewards_Credit_Card
16,Retention_Efforts,Card_Upgrade,Rewards_Credit_Card
17,Retention_Efforts,Digital_Financing,Auto_Vehicle_Financing
18,Card_Upgrade,Rewards_Credit_Card,Savings_Investment_Plans
19,Travel_Rewards_Card,Rewards_Credit_Card,Commodity_Investment_Services
20,Rewards_Credit_Card,Card_Upgrade,Travel_Rewards_Card
21,Card_Upgrade,Travel_Rewards_Card,Rewards_Credit_Card
22,Card_Upgrade,Rewards_Credit_Card,Travel_Rewards_Card
23,Travel_Rewards_Card,Digital_Financing,Rewards_Credit_Card
24,Retention_Efforts,Savings_Investment_Plans,Insurance_Solutions
25,Rewards_Credit_Card,Digital_Financing,Auto_Vehicle_Financing
26,Rewards_Credit_Card,Travel_Rewards_Card,Insurance_Solutions
27,Rewards_Credit_Card,Travel_Rewards_Card,Card_Upgrade
28,Retention_Efforts,Digital_Financing,Insurance_Solutions
29,Savings_Investment_Plans,Retention_Efforts,Rewards_Credit_Card
30,Travel_Rewards_Card,Auto_Vehicle_Financing,Home_Improvement_Loan
31,Travel_Rewards_Card,Rewards_Credit_Card,Insurance_Solutions
32,Retention_Efforts,Travel_Rewards_Card,Insurance_Solutions
33,Card_Upgrade,Insurance_Solutions,Travel_Rewards_Card
34,Retention_Efforts,Savings_Investment_Plans,Rewards_Credit_Card
35,Insurance_Solutions,Travel_Rewards_Card,Card_Upgrade
36,Card_Upgrade,Insurance_Solutions,Travel_Rewards_Card
37,Travel_Rewards_Card,Insurance_Solutions,Digital_Financing
38,Travel_Rewards_Card,Insurance_Solutions,Commodity_Investment_Services
39,Auto_Vehicle_Financing,Commodity_Investment_Services,Travel_Rewards_Card
40,Card_Upgrade,Rewards_Credit_Card,Savings_Investment_Plans
41,Retention_Efforts,Travel_Rewards_Card,Insurance_Solutions
42,Retention_Efforts,Insurance_Solutions,Digital_Financing
43,Travel_Rewards_Card,Savings_Investment_Plans,Retention_Efforts
44,Rewards_Credit_Card,Home_Improvement_Loan,Retention_Efforts
45,Rewards_Credit_Card,Travel_Rewards_Card,Insurance_Solutions
46,Retention_Efforts,Insurance_Solutions,Digital_Financing
47,Retention_Efforts,Digital_Financing,Insurance_Solutions
48,Insurance_Solutions,Retention_Efforts,Travel_Rewards_Card
49,Retention_Efforts,Travel_Rewards_Card,Insurance_Solutions
50,Retention_Efforts,Auto_Vehicle_Financing,Travel_Rewards_Card
51,Rewards_Credit_Card,Card_Upgrade,Insurance_Solutions
52,Digital_Financing,Insurance_Solutions,Retention_Efforts
53,Rewards_Credit_Card,Travel_Rewards_Card,Digital_Financing
54,Travel_Rewards_Card,Rewards_Credit_Card,Auto_Vehicle_Financing
55,Card_Upgrade,Rewards_Credit_Card,Savings_Investment_Plans
56,Travel_Rewards_Card,Retention_Efforts,Savings_Investment_Plans
57,Retention_Efforts,Travel_Rewards_Card,Savings_Investment_Plans
58,Retention_Efforts,Digital_Financing,Insurance_Solutions
59,Card_Upgrade,Rewards_Credit_Card,Home_Improvement_Loan
60,Rewards_Credit_Card,Card_Upgrade,Savings_Investment_Plans
61,Rewards_Credit_Card,Savings_Investment_Plans,Digital_Financing
62,Card_Upgrade,Insurance_Solutions,Rewards_Credit_Card
63,Travel_Rewards_Card,Rewards_Credit_Card,Insurance_Solutions
64,Retention_Efforts,Card_Upgrade,Travel_Rewards_Card
65,Retention_Efforts,Insurance_Solutions,Digital_Financing
66,Travel_Rewards_Card,Savings_Investment_Plans,Home_Improvement_Loan
67,Rewards_Credit_Card,Travel_Rewards_Card,Card_Upgrade
68,Rewards_Credit_Card,Travel_Rewards_Card,Insurance_Solutions
69,Home_Improvement_Loan,Rewards_Credit_Card,Commodity_Investment_Services
70,Retention_Efforts,Insurance_Solutions,Rewards_Credit_Card
71,Rewards_Credit_Card,Travel_Rewards_Card,Digital_Financing
72,Commodity_Investment_Services,Travel_Rewards_Card,Home_Improvement_Loan
73,Travel_Rewards_Card,Retention_Efforts,Insurance_Solutions
74,Savings_Investment_Plans,Rewards_Credit_Card,Travel_Rewards_Card
75,Auto_Vehicle_Financing,Travel_Rewards_Card,Home_Improvement_Loan
76,Retention_Efforts,Card_Upgrade,Rewards_Credit_Card
77,Travel_Rewards_Card,Retention_Efforts,Home_Improvement_Loan
