CustomerID,Age,Gender,Income,CampaignChannel,CampaignType,AdSpend,ClickThroughRate,ConversionRate,WebsiteVisits,PagesPerVisit,TimeOnSite,SocialShares,EmailOpens,EmailClicks,PreviousPurchases,LoyaltyPoints,Conversion,Cluster_Label,email_ctr,engagement_depth,social_propensity
8000,56,Female,136912,Social Media,Awareness,6497.870068417770,0.043918510735383,0.088031412072881,0,2.399016527783850,7.396802580796060,19,6,9,4,688,1,3,1.5,17.745051644083900,0.0
8001,69,Male,41760,Email,Retention,3898.6686056807300,0.1557250710553340,0.18272468252179,42,2.9171377546565200,5.352548601242160,5,2,7,2,3459,1,2,3.5,15.614121608317400,0.11904761904761900
8002,46,Female,88456,PPC,Awareness,1546.4295957990900,0.2774903687332630,0.0764227200769893,2,8.223619097965170,13.794901465536500,0,11,2,8,2337,1,3,0.18181818181818200,113.44401514653400,0.0
8003,32,Female,44085,PPC,Conversion,539.5259357793690,0.1376112536017240,0.0880041866896052,47,4.540938973132650,14.688362621260500,89,2,2,0,2463,1,4,1.0,66.69895827838670,1.8936170212766000
8004,60,Female,83964,PPC,Conversion,1678.0435726570700,0.2528511065638810,0.1099401031792950,0,2.046847118073760,13.993370402629000,6,6,6,8,4345,1,4,1.0,28.642289880759700,0.0
8005,25,Female,42925,Social Media,Awareness,9579.388246784010,0.1537946791446820,0.1613161264701010,6,2.1258497188974800,7.75283124173589,95,5,8,0,3316,1,3,1.6,16.481354115903900,15.833333333333300
8006,38,Female,25615,Referral,Awareness,7302.8998515526,0.0409753864012685,0.0609768202791524,42,1.753994644846410,10.698671609738600,54,14,3,6,930,1,3,0.21428571428571400,18.765412710451800,1.2857142857142900
8007,56,Female,57083,Social Media,Conversion,5324.283667249510,0.0528779285572571,0.1889459248608510,48,2.6260147804299700,2.9878173820459500,96,9,3,0,2983,1,4,0.3333333333333330,7.846052606478250,2.0
8008,36,Female,140788,Email,Retention,9421.250950540460,0.0235359683143721,0.1125850114170920,13,5.472842819871710,14.287420579067600,73,4,8,5,460,1,3,2.0,78.19280713063770,5.615384615384620
8009,40,Male,130764,Social Media,Awareness,6229.193333047880,0.0666412747669137,0.1697856796231380,22,1.1356646981040000,4.613311983530030,14,8,4,8,3789,1,2,0.5,5.2391755610352,0.6363636363636360
8010,28,Male,88319,PPC,Retention,7283.887363978610,0.2691480889624260,0.1098675118566440,47,2.054180721644970,3.294720457220690,94,16,5,6,1987,1,2,0.3125,6.76795124643204,2.0
8011,28,Male,29605,SEO,Awareness,2898.2530032081300,0.1985574333235440,0.1566787071906030,16,9.16410933538071,1.3722992112148100,23,18,6,5,2403,1,2,0.3333333333333330,12.575900012429200,1.4375
8012,41,Male,131093,Email,Conversion,5930.920251533040,0.2242685111160440,0.0197699429720159,13,8.889232340428130,8.480384140532980,28,16,5,4,2946,1,0,0.3125,75.38410496127960,2.1538461538461500
8013,53,Male,64608,SEO,Awareness,1520.4247185486200,0.190281822934065,0.1618503715197730,8,8.497723392296300,14.252724962307700,81,8,1,2,2818,1,2,0.125,121.11571431616700,10.125
8014,57,Male,148788,Email,Awareness,4104.383137457980,0.1220963947201210,0.109552291663889,20,7.356534606290650,2.4660296351671000,70,16,8,1,3247,1,2,0.5,18.14143235124510,3.5
8015,41,Female,39192,Email,Awareness,429.07921736744000,0.0728897285108404,0.0953889617554506,44,6.95369491204816,2.2520393830350900,33,0,1,1,4474,0,1,0.0,15.659994799543200,0.75
8016,20,Female,23331,PPC,Conversion,2244.6180670685400,0.2784282293628510,0.0312058366562549,1,3.479642300460540,4.452665667280360,77,7,8,8,3252,1,4,1.1428571428571400,15.493683805677100,77.0
8017,39,Female,71330,Social Media,Conversion,841.1994312844800,0.1593006366518260,0.1508968823926170,31,4.0149507927033400,10.148211448254600,83,18,5,2,3463,1,4,0.2777777777777780,40.744569598691100,2.6774193548387100
